experiment,label,platform,model,condition,resource_envelope,source_file,metric,unit,n,mean,median,stddev,min,max
azure_cpu_llama32_3b,Azure CPU Llama 3.2 3B,Azure CPU,llama3.2:3b,PVC baseline,2 CPU / 4 GiB limit,results/cloud-cpu/ollama/llama3.2-3b/pvc-recovery-4gi.csv,kubernetes_ready_s,s,10,1.689400,1.750500,0.306485,1.220000,2.135000
azure_cpu_llama32_3b,Azure CPU Llama 3.2 3B,Azure CPU,llama3.2:3b,PVC baseline,2 CPU / 4 GiB limit,results/cloud-cpu/ollama/llama3.2-3b/pvc-recovery-4gi.csv,runtime_reachable_s,s,10,2.171400,2.249500,0.297886,1.335000,2.397000
azure_cpu_llama32_3b,Azure CPU Llama 3.2 3B,Azure CPU,llama3.2:3b,PVC baseline,2 CPU / 4 GiB limit,results/cloud-cpu/ollama/llama3.2-3b/pvc-recovery-4gi.csv,ready_to_runtime_s,s,10,0.482000,0.494500,0.285205,0.105000,0.901000
azure_cpu_llama32_3b,Azure CPU Llama 3.2 3B,Azure CPU,llama3.2:3b,PVC baseline,2 CPU / 4 GiB limit,results/cloud-cpu/ollama/llama3.2-3b/pvc-recovery-4gi.csv,functional_recovery_s,s,10,7.734100,7.837500,0.460509,6.602000,8.329000
azure_cpu_llama32_3b,Azure CPU Llama 3.2 3B,Azure CPU,llama3.2:3b,PVC baseline,2 CPU / 4 GiB limit,results/cloud-cpu/ollama/llama3.2-3b/pvc-recovery-4gi.csv,ready_to_inference_s,s,10,6.044700,6.055500,0.442786,5.382000,6.800000
azure_cpu_llama32_3b,Azure CPU Llama 3.2 3B,Azure CPU,llama3.2:3b,PVC baseline,2 CPU / 4 GiB limit,results/cloud-cpu/ollama/llama3.2-3b/pvc-recovery-4gi.csv,request_wall_s,s,10,5.548100,5.529500,0.264063,5.231000,6.091000
azure_cpu_llama32_3b,Azure CPU Llama 3.2 3B,Azure CPU,llama3.2:3b,PVC baseline,2 CPU / 4 GiB limit,results/cloud-cpu/ollama/llama3.2-3b/pvc-recovery-4gi.csv,ollama_total_s,s,10,5.436600,5.419500,0.264742,5.119000,5.981000
azure_cpu_llama32_3b,Azure CPU Llama 3.2 3B,Azure CPU,llama3.2:3b,PVC baseline,2 CPU / 4 GiB limit,results/cloud-cpu/ollama/llama3.2-3b/pvc-recovery-4gi.csv,model_load_s,s,10,3.961800,3.898500,0.182796,3.844000,4.455000
azure_cpu_llama32_3b,Azure CPU Llama 3.2 3B,Azure CPU,llama3.2:3b,PVC baseline,2 CPU / 4 GiB limit,results/cloud-cpu/ollama/llama3.2-3b/pvc-recovery-4gi.csv,prompt_eval_s,s,10,1.269600,1.303500,0.131171,1.073000,1.451000
azure_cpu_llama32_3b,Azure CPU Llama 3.2 3B,Azure CPU,llama3.2:3b,PVC baseline,2 CPU / 4 GiB limit,results/cloud-cpu/ollama/llama3.2-3b/pvc-recovery-4gi.csv,eval_s,s,10,0.201900,0.199000,0.013354,0.188000,0.236000
