run,run_start_ms,run_end_ms,run_observation_ms,old_ip,new_ip,new_endpoint_first_seen_ms,new_endpoint_ready_ms,old_endpoint_not_ready_ms,old_endpoint_last_seen_ms,old_endpoint_removed_detected_ms,new_endpoint_nonserving_ms,traffic_gap_samples,both_ready_samples
1,1787803820856,1787803922882,102026,10.244.1.45,10.244.1.46,1787803823113,1787803892097,1787803892097,1787803922255,1787803922882,68984,0,0
2,1787803938612,1787804022202,83590,10.244.1.46,10.244.1.47,1787803940913,1787803991652,1787803991652,1787804021568,1787804022202,50739,0,0
3,1787804037849,1787804106516,68667,10.244.1.47,10.244.1.48,1787804041018,1787804075270,1787804075982,1787804105881,1787804106516,34252,0,1
4,1787804122240,1787804205461,83221,10.244.1.48,10.244.1.49,1787804124592,1787804174629,1787804174629,1787804204679,1787804205461,50037,0,0
5,1787804221251,1787804307844,86593,10.244.1.49,10.244.1.50,1787804223662,1787804276488,1787804277206,1787804307148,1787804307844,52826,0,1
6,1787804323557,1787804392099,68542,10.244.1.50,10.244.1.51,1787804325911,1787804360990,1787804360990,1787804391387,1787804392099,35079,0,0
7,1787804407901,1787804497272,89371,10.244.1.51,10.244.1.52,1787804410255,1787804466290,1787804467013,1787804496641,1787804497272,56035,0,1
8,1787804512981,1787804597081,84100,10.244.1.52,10.244.1.53,1787804515509,1787804566453,1787804566453,1787804596421,1787804597081,50944,0,0
9,1787804613087,1787804682913,69826,10.244.1.53,10.244.1.54,1787804615340,1787804652266,1787804652266,1787804682295,1787804682913,36926,0,0
10,1787804698678,1787804772463,73785,10.244.1.54,10.244.1.55,1787804701222,1787804741670,1787804741670,1787804771804,1787804772463,40448,0,0
