run,t0_delete_ms,t1_k8s_ready_ms,t2_runtime_ms,t3_inference_start_ms,t4_inference_done_ms,pod_recovery_ms,runtime_recovery_ms,ready_to_runtime_ms,functional_recovery_ms,ready_to_inference_ms,request_wall_ms,http_code,total_duration_ms,load_duration_ms,prompt_eval_duration_ms,eval_duration_ms
1,1787849370219,1787849371931,1787849372433,1787849372447,1787849372554,1712,2214,502,2335,623,107,FAIL,0,0,0,0
2,1787849387625,1787849388985,1787849389877,1787849389891,1787849389997,1360,2252,892,2372,1012,106,FAIL,0,0,0,0
3,1787849405069,1787849407125,1787849407230,1787849407245,1787849407353,2056,2161,105,2284,228,108,FAIL,0,0,0,0
4,1787849422425,1787849424184,1787849424692,1787849424706,1787849424810,1759,2267,508,2385,626,104,FAIL,0,0,0,0
5,1787849439884,1787849441406,1787849442114,1787849442129,1787849442244,1522,2230,708,2360,838,115,FAIL,0,0,0,0
6,1787849457318,1787849458474,1787849458586,1787849458601,1787849458712,1156,1268,112,1394,238,111,FAIL,0,0,0,0
7,1787849473785,1787849475532,1787849476034,1787849476048,1787849476155,1747,2249,502,2370,623,107,FAIL,0,0,0,0
8,1787849491227,1787849492795,1787849493479,1787849493494,1787849493617,1568,2252,684,2390,822,123,FAIL,0,0,0,0
9,1787849508697,1787849510749,1787849510858,1787849510873,1787849510980,2052,2161,109,2283,231,107,FAIL,0,0,0,0
10,1787849526053,1787849527970,1787849528276,1787849528291,1787849528403,1917,2223,306,2350,433,112,FAIL,0,0,0,0
