run,failure_epoch,pod_running_epoch,first_inference_epoch,pod_recovery_s,functional_recovery_s,recovery_gap_s,http_code,total_duration_ns,load_duration_ns
1,1787798890,1787798892,1787798902,2,12,10,200,8620974170,5597903086
2,1787798917,1787798919,1787798930,2,13,11,200,10158240714,6903549670
3,1787798945,1787798947,1787798957,2,12,10,200,8873972421,6296770962
4,1787798972,1787798974,1787798983,2,11,9,200,7906148921,5069791170
5,1787798998,1787799000,1787799009,2,11,9,200,8051465837,5348838252
6,1787799024,1787799026,1787799035,2,11,9,200,7899556670,4997672543
7,1787799050,1787799053,1787799062,3,12,9,200,9004662921,5514440461
8,1787799077,1787799079,1787799089,2,12,10,200,9230894671,6108721337
9,1787799105,1787799106,1787799116,1,11,10,200,8950184463,6453267003
10,1787799132,1787799133,1787799142,1,10,9,200,7943310545,5340448377
