run,t0_delete_ms,t1_k8s_ready_ms,t2_runtime_ms,t3_inference_start_ms,t4_inference_done_ms,pod_recovery_ms,runtime_recovery_ms,ready_to_runtime_ms,functional_recovery_ms,ready_to_inference_ms,request_wall_ms,http_code,total_duration_ms,load_duration_ms,prompt_eval_duration_ms,eval_duration_ms
1,1787851708937,1787851710843,1787851711330,1787851711345,1787851714604,1906,2393,487,5667,3761,3259,200,3155,2152,894,106
2,1787851729679,1787851731039,1787851731916,1787851731930,1787851734775,1360,2237,877,5096,3736,2845,200,2741,2055,575,108
3,1787851749848,1787851751032,1787851752123,1787851752138,1787851755127,1184,2275,1091,5279,4095,2989,200,2879,2184,563,129
4,1787851770201,1787851772261,1787851772567,1787851772582,1787851776028,2060,2366,306,5827,3767,3446,200,3335,2089,1010,188
5,1787851791100,1787851792327,1787851792440,1787851792454,1787851795596,1227,1340,113,4496,3269,3142,200,3028,2028,814,105
6,1787851810679,1787851812472,1787851812975,1787851812990,1787851816196,1793,2296,503,5517,3724,3206,200,3096,2384,603,106
7,1787851831274,1787851832623,1787851833501,1787851833515,1787851836725,1349,2227,878,5451,4102,3210,200,3098,2167,811,106
8,1787851851802,1787851853709,1787851854007,1787851854021,1787851857346,1907,2205,298,5544,3637,3325,200,3216,2087,996,130
9,1787851872422,1787851873798,1787851874736,1787851874751,1787851878035,1376,2314,938,5613,4237,3284,200,3171,2143,904,108
10,1787851893107,1787851895005,1787851895311,1787851895326,1787851898950,1898,2204,306,5843,3945,3624,200,3516,2324,1044,145
