run,cache_condition,precondition_model_resident,cached_kb_before,cached_kb_after_drop,drop_caches_success,t0_delete_ms,t1_k8s_ready_ms,t2_runtime_ms,t3_inference_start_ms,t4_inference_done_ms,pod_recovery_ms,runtime_recovery_ms,ready_to_runtime_ms,functional_recovery_ms,ready_to_inference_ms,request_wall_ms,http_code,total_duration_ms,load_duration_ms,prompt_eval_duration_ms,eval_duration_ms,memory_current_bytes
1,cold,false,2933100,740572,true,1787865375796,1787865377617,1787865378162,1787865378177,1787865384460,1821,2366,545,8664,6843,6283,200,6171,4838,1030,299,4293083136
2,cold,false,2132484,739384,true,1787865401307,1787865402675,1787865403620,1787865403635,1787865409074,1368,2313,945,7767,6399,5439,200,5325,4514,639,168,4292751360
3,cold,false,2128056,739732,true,1787865425867,1787865427801,1787865428148,1787865428163,1787865433923,1934,2281,347,8056,6122,5760,200,5643,4734,706,199,4291411968
4,cold,false,2121612,739072,true,1787865450801,1787865453027,1787865453177,1787865453191,1787865458949,2226,2376,150,8148,5922,5758,200,5642,4692,748,198,4292132864
5,cold,false,2122196,738416,true,1787865475851,1787865477228,1787865478174,1787865478189,1787865483756,1377,2323,946,7905,6528,5567,200,5453,4572,683,194,4293976064
6,cold,false,2129708,738816,true,1787865500632,1787865502511,1787865503052,1787865503067,1787865509043,1879,2420,541,8411,6532,5976,200,5866,4669,973,219,4291780608
7,cold,false,2126700,738260,true,1787865525953,1787865527650,1787865528391,1787865528406,1787865533713,1697,2438,741,7760,6063,5307,200,5198,4403,678,112,4293165056
8,cold,false,2128224,738580,true,1787865550595,1787865552824,1787865552965,1787865552979,1787865558347,2229,2370,141,7752,5523,5368,200,5255,4458,677,115,4292218880
9,cold,false,2126676,738428,true,1787865575235,1787865577152,1787865577695,1787865577710,1787865583536,1917,2460,543,8301,6384,5826,200,5714,4694,773,243,4292771840
10,cold,false,2119584,738180,true,1787865600502,1787865602398,1787865602938,1787865602952,1787865608658,1896,2436,540,8156,6260,5706,200,5596,4487,813,287,4291919872
