run,cache_condition,precondition_model_resident,cached_kb_before,cached_kb_after_precondition,t0_delete_ms,t1_k8s_ready_ms,t2_runtime_ms,t3_inference_start_ms,t4_inference_done_ms,pod_recovery_ms,runtime_recovery_ms,ready_to_runtime_ms,functional_recovery_ms,ready_to_inference_ms,request_wall_ms,http_code,total_duration_ms,load_duration_ms,prompt_eval_duration_ms,eval_duration_ms,memory_current_bytes
1,warm,true,2132292,2132380,1787864762717,1787864764829,1787864765143,1787864765158,1787864770579,2112,2426,314,7862,5750,5421,200,5294,3993,1058,240,3768422400
2,warm,true,2927372,2927388,1787864786672,1787864787928,1787864790040,1787864790055,1787864794959,1256,3368,2112,8287,7031,4904,200,4790,3909,686,192,2960613376
3,warm,true,2927924,2928056,1787864810968,1787864813074,1787864813385,1787864813399,1787864818395,2106,2417,311,7427,5321,4996,200,4884,3691,981,209,2956791808
4,warm,true,2928488,2928996,1787864834401,1787864836194,1787864836704,1787864836718,1787864841420,1793,2303,510,7019,5226,4702,200,4586,3779,614,191,2959413248
5,warm,true,2929752,2929760,1787864857515,1787864859484,1787864859798,1787864859813,1787864864808,1969,2283,314,7293,5324,4995,200,4883,3973,707,199,2961084416
6,warm,true,2930052,2930064,1787864880816,1787864882651,1787864883172,1787864883188,1787864887960,1835,2356,521,7144,5309,4772,200,4655,3873,589,190,2959515648
7,warm,true,2930584,2930600,1787864903971,1787864905797,1787864906319,1787864906334,1787864911525,1826,2348,522,7554,5728,5191,200,5077,3913,871,290,2958905344
8,warm,true,2931044,2931052,1787864927827,1787864929842,1787864930169,1787864930184,1787864935247,2015,2342,327,7420,5405,5063,200,4944,4013,731,196,2963427328
9,warm,true,2931200,2931296,1787864951230,1787864953019,1787864953537,1787864953552,1787864958881,1789,2307,518,7651,5862,5329,200,5212,4135,863,210,2956836864
10,warm,true,2931528,2931536,1787864975175,1787864977305,1787864977621,1787864977636,1787864983343,2130,2446,316,8168,6038,5707,200,5597,4239,1057,298,2957094912
