run,control_condition,target_node,target_pvc,target_artifact_present_before_inference,target_model_resident_before_inference,t0_scaleup_ms,t1_k8s_ready_ms,t2_runtime_ms,t3_inference_start_ms,t4_inference_done_ms,pod_recovery_ms,runtime_recovery_ms,ready_to_runtime_ms,functional_recovery_ms,ready_to_inference_ms,request_wall_ms,http_code,total_duration_ms,load_duration_ms,prompt_eval_duration_ms,eval_duration_ms,memory_current_bytes
1,same-node-cold-kubeadm-containerd,k8s-llm-cpu-02,ollama-models-target,true,false,1788023177375,1788023179158,1788023180139,1788023180362,1788023187311,1783,2764,981,9936,8153,6949,200,6840,5551,1090,196,4293898240
2,same-node-cold-kubeadm-containerd,k8s-llm-cpu-02,ollama-models-target,true,false,1788023340593,1788023342362,1788023342576,1788023342806,1788023349805,1769,1983,214,9212,7443,6999,200,6864,5601,1089,171,4293107712
3,same-node-cold-kubeadm-containerd,k8s-llm-cpu-02,ollama-models-target,true,false,1788023891468,1788023893476,1788023893677,1788023893897,1788023900866,2008,2209,201,9398,7390,6969,200,6838,5578,1064,192,4292583424
4,same-node-cold-kubeadm-containerd,k8s-llm-cpu-02,ollama-models-target,true,false,1788023910148,1788023911584,1788023912369,1788023912608,1788023919791,1436,2221,785,9643,8207,7183,200,7071,5668,1200,199,4292259840
5,same-node-cold-kubeadm-containerd,k8s-llm-cpu-02,ollama-models-target,true,false,1788023929189,1788023930613,1788023931387,1788023931610,1788023938941,1424,2198,774,9752,8328,7331,200,7226,5778,1242,202,4293357568
6,same-node-cold-kubeadm-containerd,k8s-llm-cpu-02,ollama-models-target,true,false,1788023948440,1788023950446,1788023950653,1788023950867,1788023957815,2006,2213,207,9375,7369,6948,200,6836,5574,1066,192,4293754880
7,same-node-cold-kubeadm-containerd,k8s-llm-cpu-02,ollama-models-target,true,false,1788023966653,1788023968630,1788023969588,1788023969805,1788023976810,1977,2935,958,10157,8180,7005,200,6895,5624,1071,195,4292296704
8,same-node-cold-kubeadm-containerd,k8s-llm-cpu-02,ollama-models-target,true,false,1788023986142,1788023987578,1788023988524,1788023988734,1788023995942,1436,2382,946,9800,8364,7208,200,7094,5767,1129,194,4294123520
9,same-node-cold-kubeadm-containerd,k8s-llm-cpu-02,ollama-models-target,true,false,1788024005243,1788024006677,1788024007623,1788024007838,1788024014753,1434,2380,946,9510,8076,6915,200,6808,5549,1016,194,4291375104
10,same-node-cold-kubeadm-containerd,k8s-llm-cpu-02,ollama-models-target,true,false,1788024023939,1788024025668,1788024026665,1788024026889,1788024033802,1729,2726,997,9863,8134,6913,200,6802,5521,1119,157,4292009984
