run,t0_delete_ms,t1_k8s_ready_ms,t2_runtime_ms,t3_inference_start_ms,t4_inference_done_ms,pod_recovery_ms,runtime_recovery_ms,ready_to_runtime_ms,functional_recovery_ms,ready_to_inference_ms,request_wall_ms,http_code,total_duration_ms,load_duration_ms,prompt_eval_duration_ms,eval_duration_ms,memory_current_bytes
1,1787853021576,1787853023105,1787853023800,1787853023814,1787853029905,1529,2224,695,8329,6800,6091,200,5981,4455,1324,199,2987835392
2,1787853045111,1787853047246,1787853047351,1787853047365,1787853052863,2135,2240,105,7752,5617,5498,200,5387,3902,1283,199,2601615360
3,1787853068082,1787853069446,1787853070347,1787853070362,1787853075593,1364,2265,901,7511,6147,5231,200,5119,3849,1073,194,2599882752
4,1787853090759,1787853092515,1787853093008,1787853093022,1787853098678,1756,2249,493,7919,6163,5656,200,5544,3887,1451,203,2601750528
5,1787853113870,1787853115615,1787853116125,1787853116140,1787853121701,1745,2255,510,7831,6086,5561,200,5452,3895,1346,207,2600079360
6,1787853136873,1787853138835,1787853139139,1787853139154,1787853144860,1962,2266,304,7987,6025,5706,200,5598,4004,1386,205,2599858176
7,1787853160094,1787853161995,1787853162491,1787853162505,1787853167938,1901,2397,496,7844,5943,5433,200,5308,3912,1205,188,2601205760
8,1787853183111,1787853185038,1787853185344,1787853185359,1787853190672,1927,2233,306,7561,5634,5313,200,5204,3844,1160,196,2604814336
9,1787853205854,1787853207209,1787853208104,1787853208119,1787853213859,1355,2250,895,8005,6650,5740,200,5629,4011,1379,236,2602520576
10,1787853229070,1787853230290,1787853230405,1787853230420,1787853235672,1220,1335,115,6602,5382,5252,200,5144,3859,1089,192,2602823680
