run,rollout_start_ms,old_pod,old_ip,new_pod,new_ip,new_pod_first_seen_ms,new_pod_running_ms,new_endpoint_first_seen_ms,new_endpoint_ready_ms,old_endpoint_not_ready_ms,old_endpoint_removed_ms,new_endpoint_nonserving_ms,traffic_gap_count
1,1787855259403,ollama-5c8d84444d-fs6n5,10.244.0.39,ollama-779ffd44d6-qhjss,10.244.0.40,1787855259475,1787855261507,1787855261507,1787855272944,1787855272944,1787855302925,11437,0
2,1787855318138,ollama-779ffd44d6-qhjss,10.244.0.40,ollama-698bf5c8d6-8d4rp,10.244.0.41,1787855318213,1787855320248,1787855320248,1787855331096,1787855331096,1787855361126,10848,0
3,1787855376346,ollama-698bf5c8d6-8d4rp,10.244.0.41,ollama-5f6df6f4bf-zj7gg,10.244.0.42,1787855376420,1787855378445,1787855378445,1787855389868,1787855389868,1787855419857,11423,0
4,1787855435075,ollama-5f6df6f4bf-zj7gg,10.244.0.42,ollama-7cbf56444b-zgs6l,10.244.0.43,1787855435146,1787855436514,1787855436514,1787855447950,1787855447950,1787855477940,11436,0
5,1787855493158,ollama-7cbf56444b-zgs6l,10.244.0.43,ollama-845bd4d46f-b2q6x,10.244.0.44,1787855493228,1787855495252,1787855495252,1787855506098,1787855506098,1787855536654,10846,0
6,1787855551875,ollama-845bd4d46f-b2q6x,10.244.0.44,ollama-69c5bb5ffb-ppfgz,10.244.0.45,1787855551944,1787855553309,1787855553309,1787855564165,1787855564165,1787855594735,10856,0
7,1787855609949,ollama-69c5bb5ffb-ppfgz,10.244.0.45,ollama-798d6d476d-9mppr,10.244.0.46,1787855610022,1787855612046,1787855612046,1787855622324,1787855622324,1787855652910,10278,0
8,1787855668131,ollama-798d6d476d-9mppr,10.244.0.46,ollama-65dc7b69c6-zzf4q,10.244.0.47,1787855668204,1787855670231,1787855670231,1787855681065,1787855681065,1787855711651,10834,0
9,1787855726868,ollama-65dc7b69c6-zzf4q,10.244.0.47,ollama-f769fb655-6gxmr,10.244.0.48,1787855726940,1787855728309,1787855728309,1787855739185,1787855739185,1787855769738,10876,0
10,1787855784954,ollama-f769fb655-6gxmr,10.244.0.48,ollama-777495fb65-7mdf7,10.244.0.49,1787855785023,1787855787045,1787855787045,1787855797894,1787855797894,1787855828451,10849,0
