run,gpu_used_mib_before,t0_delete_ms,t1_k8s_ready_ms,t2_runtime_ms,t3_inference_start_ms,t4_inference_done_ms,pod_recovery_ms,runtime_recovery_ms,ready_to_runtime_ms,functional_recovery_ms,ready_to_inference_ms,request_wall_ms,http_code,total_duration_ms,load_duration_ms,prompt_eval_duration_ms,eval_duration_ms,memory_current_bytes,gpu_used_mib_after
1,5150,1788116574064,1788116579843,1788116579961,1788116579978,1788116583680,5779,5897,118,9616,3837,3702,200,3578,3424,89,19,781250560,5150
2,5150,1788116598953,1788116604530,1788116604651,1788116604667,1788116608324,5577,5698,121,9371,3794,3657,200,3538,3420,89,19,785580032,5150
3,5150,1788116623637,1788116629425,1788116629552,1788116629568,1788116633270,5788,5915,127,9633,3845,3702,200,3577,3385,89,20,779919360,5150
4,5150,1788116648584,1788116654261,1788116654381,1788116654398,1788116658018,5677,5797,120,9434,3757,3620,200,3498,3383,89,19,781438976,5150
5,5150,1788116673322,1788116679084,1788116679203,1788116679220,1788116683219,5762,5881,119,9897,4135,3999,200,3878,3761,89,20,784703488,5150
6,5150,1788116698523,1788116703845,1788116703961,1788116703977,1788116707706,5322,5438,116,9183,3861,3729,200,3603,3409,95,51,783069184,5150
7,5150,1788116722987,1788116728383,1788116728506,1788116728523,1788116732175,5396,5519,123,9188,3792,3652,200,3530,3393,90,19,784588800,5150
8,5150,1788116747483,1788116753254,1788116753375,1788116753392,1788116757009,5771,5892,121,9526,3755,3617,200,3495,3309,103,21,782880768,5150
9,5150,1788116772305,1788116778076,1788116778202,1788116778218,1788116781945,5771,5897,126,9640,3869,3727,200,3606,3461,114,24,784896000,5150
10,5150,1788116797215,1788116802670,1788116802790,1788116802807,1788116806426,5455,5575,120,9211,3756,3619,200,3496,3383,89,19,785854464,5150
