run,gpu_used_mib_before,t0_delete_ms,t1_k8s_ready_ms,t2_runtime_ms,t3_inference_start_ms,t4_inference_done_ms,pod_recovery_ms,runtime_recovery_ms,ready_to_runtime_ms,functional_recovery_ms,ready_to_inference_ms,request_wall_ms,http_code,total_duration_ms,load_duration_ms,prompt_eval_duration_ms,eval_duration_ms,memory_current_bytes,gpu_used_mib_after
1,2554,1788111981051,1788111986786,1788111986908,1788111986924,1788112050655,5735,5857,122,69604,63869,63731,200,63609,34423,29147,33,1093074944,2554
2,2554,1788112065981,1788112071711,1788112071833,1788112071849,1788112135431,5730,5852,122,69450,63720,63582,200,63453,34263,29120,65,1094692864,2554
3,2554,1788112150754,1788112156307,1788112156430,1788112156447,1788112220426,5553,5676,123,69672,64119,63979,200,63846,34548,29271,18,1095274496,2554
4,2554,1788112235730,1788112241637,1788112241759,1788112241775,1788112305626,5907,6029,122,69896,63989,63851,200,63688,34535,29128,18,1096777728,2554
5,2554,1788112320899,1788112326714,1788112326833,1788112326850,1788112390330,5815,5934,119,69431,63616,63480,200,63344,34355,28922,17,1092976640,2554
6,2554,1788112405661,1788112411433,1788112411551,1788112411568,1788112475531,5772,5890,118,69870,64098,63963,200,63825,34468,29262,17,1097199616,2554
7,2554,1788112490872,1788112496833,1788112496957,1788112496974,1788112561143,5961,6085,124,70271,64310,64169,200,64007,34746,29133,17,1084928000,2554
8,2554,1788112576459,1788112582306,1788112582428,1788112582445,1788112646309,5847,5969,122,69850,64003,63864,200,63744,34545,29177,17,1103867904,2554
9,2554,1788112661594,1788112667350,1788112667473,1788112667489,1788112731319,5756,5879,123,69725,63969,63830,200,63696,34495,29138,52,1090568192,2554
10,2554,1788112746629,1788112752453,1788112752572,1788112752589,1788112816336,5824,5943,119,69707,63883,63747,200,63618,34592,29005,17,1094590464,2554
