run,gpu_used_mib_before,t0_delete_ms,t1_k8s_ready_ms,t2_runtime_ms,t3_inference_start_ms,t4_inference_done_ms,pod_recovery_ms,runtime_recovery_ms,ready_to_runtime_ms,functional_recovery_ms,ready_to_inference_ms,request_wall_ms,http_code,total_duration_ms,load_duration_ms,prompt_eval_duration_ms,eval_duration_ms,memory_current_bytes,gpu_used_mib_after
1,9340,1788118676264,1788118681627,1788118681747,1788118681763,1788118686874,5363,5483,120,10610,5247,5111,200,4983,4691,185,75,578822144,9340
2,9340,1788118702199,1788118707436,1788118707563,1788118707579,1788118712706,5237,5364,127,10507,5270,5127,200,4999,4713,175,107,574480384,9340
3,9340,1788118728031,1788118733851,1788118733971,1788118733987,1788118739178,5820,5940,120,11147,5327,5191,200,5053,4753,177,118,571998208,9340
4,9340,1788118754491,1788118760100,1788118760223,1788118760240,1788118765425,5609,5732,123,10934,5325,5185,200,5061,4767,198,86,578318336,9340
5,9340,1788118780749,1788118786217,1788118786338,1788118786355,1788118791518,5468,5589,121,10769,5301,5163,200,5029,4737,189,99,567386112,9340
6,9340,1788118806845,1788118812300,1788118812418,1788118812434,1788118817566,5455,5573,118,10721,5266,5132,200,4985,4705,191,82,574787584,9340
7,9340,1788118832892,1788118838781,1788118838903,1788118838919,1788118844062,5889,6011,122,11170,5281,5143,200,5008,4721,224,58,571805696,9340
8,9340,1788118859378,1788118864957,1788118865075,1788118865091,1788118870213,5579,5697,118,10835,5256,5122,200,4986,4686,178,91,578625536,9340
9,9340,1788118885534,1788118890947,1788118891067,1788118891083,1788118896192,5413,5533,120,10658,5245,5109,200,4979,4686,204,79,571748352,9340
10,9340,1788118911515,1788118917137,1788118917259,1788118917277,1788118922423,5622,5744,122,10908,5286,5146,200,5018,4736,176,98,577884160,9340
