run,t0_delete_ms,t1_k8s_ready_ms,t2_runtime_ms,t3_inference_start_ms,t4_inference_done_ms,pod_recovery_ms,runtime_recovery_ms,ready_to_runtime_ms,functional_recovery_ms,ready_to_inference_ms,request_wall_ms,http_code,total_duration_ms,load_duration_ms,prompt_eval_duration_ms,eval_duration_ms
1,1787799489237,1787799490740,1787799491652,1787799491678,1787799501026,1503,2415,912,11789,10286,9348,200,9168,6180,2728,255
2,1787799516350,1787799517883,1787799518749,1787799518774,1787799526913,1533,2399,866,10563,9030,8139,200,7960,5385,2310,261
3,1787799542241,1787799544102,1787799545869,1787799545897,1787799555669,1861,3628,1767,13428,11567,9772,200,9539,5096,3847,591
4,1787799571020,1787799572756,1787799573458,1787799573486,1787799581433,1736,2438,702,10413,8677,7947,200,7748,5072,2379,282
5,1787799596719,1787799598049,1787799598204,1787799598231,1787799606830,1330,1485,155,10111,8781,8599,200,8405,5599,2492,310
6,1787799622326,1787799624240,1787799624665,1787799624694,1787799632483,1914,2339,425,10157,8243,7789,200,7618,5012,2305,297
7,1787799647775,1787799649476,1787799650099,1787799650127,1787799658247,1701,2324,623,10472,8771,8120,200,7945,5360,2289,291
8,1787799673587,1787799675795,1787799675973,1787799676004,1787799684156,2208,2386,178,10569,8361,8152,200,7950,5029,2601,314
9,1787799699547,1787799700922,1787799701827,1787799701855,1787799712223,1375,2280,905,12676,11301,10368,200,10169,6823,2985,357
10,1787799727711,1787799729119,1787799730311,1787799730339,1787799738651,1408,2600,1192,10940,9532,8312,200,8122,5521,2227,369
