run,t0_delete_ms,t1_k8s_ready_ms,t2_runtime_ms,t3_inference_start_ms,t4_inference_done_ms,pod_recovery_ms,runtime_recovery_ms,ready_to_runtime_ms,functional_recovery_ms,ready_to_inference_ms,request_wall_ms,http_code,total_duration_ms,load_duration_ms,prompt_eval_duration_ms,eval_duration_ms,memory_current_bytes
1,1787801644574,1787801646837,1787801647022,1787801647051,1787801666163,2263,2448,185,21589,19326,19112,200,18924,13434,3999,1484,2924580864
2,1787801681678,1787801683246,1787801684130,1787801684162,1787801697653,1568,2452,884,15975,14407,13491,200,13292,8405,4433,449,2921902080
3,1787801713138,1787801716396,1787801716566,1787801716594,1787801729882,3258,3428,170,16744,13486,13288,200,13089,7968,4706,410,2930614272
4,1787801745371,1787801747620,1787801747791,1787801747817,1787801761848,2249,2420,171,16477,14228,14031,200,13825,9335,3987,498,2926854144
5,1787801777385,1787801778912,1787801779829,1787801779857,1787801792881,1527,2444,917,15496,13969,13024,200,12799,7885,4498,412,2929197056
6,1787801808494,1787801810233,1787801810929,1787801810957,1787801823482,1739,2435,696,14988,13249,12525,200,12327,7641,4289,392,2929397760
7,1787801839070,1787801840289,1787801840455,1787801840485,1787801852935,1219,1385,166,13865,12646,12450,200,12249,7456,4295,493,2923307008
8,1787801868580,1787801870626,1787801871112,1787801871141,1787801884100,2046,2532,486,15520,13474,12959,200,12543,8436,3702,399,2924433408
9,1787801899824,1787801901779,1787801902174,1787801902203,1787801915696,1955,2350,395,15872,13917,13493,200,13260,7939,4387,924,2924388352
10,1787801931411,1787801933206,1787801933889,1787801933953,1787801947604,1795,2478,683,16193,14398,13651,200,13357,7464,4988,874,2923458560
