run,timestamp_ms,timestamp_utc,ip,role,ready,serving,terminating
1,1787803820856,2026-08-27T04:10:20.3NZ,10.244.1.45,old,true,true,false
1,1787803821667,2026-08-27T04:10:21.3NZ,10.244.1.45,old,true,true,false
1,1787803822376,2026-08-27T04:10:22.3NZ,10.244.1.45,old,true,true,false
1,1787803822376,2026-08-27T04:10:22.3NZ,10.244.1.46,unknown,false,false,false
1,1787803823113,2026-08-27T04:10:23.3NZ,10.244.1.45,old,true,true,false
1,1787803823113,2026-08-27T04:10:23.3NZ,10.244.1.46,new,false,false,false
1,1787803823800,2026-08-27T04:10:23.3NZ,10.244.1.45,old,true,true,false
1,1787803823800,2026-08-27T04:10:23.3NZ,10.244.1.46,new,false,false,false
1,1787803824419,2026-08-27T04:10:24.3NZ,10.244.1.45,old,true,true,false
1,1787803824419,2026-08-27T04:10:24.3NZ,10.244.1.46,new,false,false,false
1,1787803825165,2026-08-27T04:10:25.3NZ,10.244.1.45,old,true,true,false
1,1787803825165,2026-08-27T04:10:25.3NZ,10.244.1.46,new,false,false,false
1,1787803825829,2026-08-27T04:10:25.3NZ,10.244.1.45,old,true,true,false
1,1787803825829,2026-08-27T04:10:25.3NZ,10.244.1.46,new,false,false,false
1,1787803826462,2026-08-27T04:10:26.3NZ,10.244.1.45,old,true,true,false
1,1787803826462,2026-08-27T04:10:26.3NZ,10.244.1.46,new,false,false,false
1,1787803827069,2026-08-27T04:10:27.3NZ,10.244.1.45,old,true,true,false
1,1787803827069,2026-08-27T04:10:27.3NZ,10.244.1.46,new,false,false,false
1,1787803827687,2026-08-27T04:10:27.3NZ,10.244.1.45,old,true,true,false
1,1787803827687,2026-08-27T04:10:27.3NZ,10.244.1.46,new,false,false,false
1,1787803828318,2026-08-27T04:10:28.3NZ,10.244.1.45,old,true,true,false
1,1787803828318,2026-08-27T04:10:28.3NZ,10.244.1.46,new,false,false,false
1,1787803828937,2026-08-27T04:10:28.3NZ,10.244.1.45,old,true,true,false
1,1787803828937,2026-08-27T04:10:28.3NZ,10.244.1.46,new,false,false,false
1,1787803829553,2026-08-27T04:10:29.3NZ,10.244.1.45,old,true,true,false
1,1787803829553,2026-08-27T04:10:29.3NZ,10.244.1.46,new,false,false,false
1,1787803830168,2026-08-27T04:10:30.3NZ,10.244.1.45,old,true,true,false
1,1787803830168,2026-08-27T04:10:30.3NZ,10.244.1.46,new,false,false,false
1,1787803830782,2026-08-27T04:10:30.3NZ,10.244.1.45,old,true,true,false
1,1787803830782,2026-08-27T04:10:30.3NZ,10.244.1.46,new,false,false,false
1,1787803831407,2026-08-27T04:10:31.3NZ,10.244.1.45,old,true,true,false
1,1787803831407,2026-08-27T04:10:31.3NZ,10.244.1.46,new,false,false,false
1,1787803832068,2026-08-27T04:10:32.3NZ,10.244.1.45,old,true,true,false
1,1787803832068,2026-08-27T04:10:32.3NZ,10.244.1.46,new,false,false,false
1,1787803832702,2026-08-27T04:10:32.3NZ,10.244.1.45,old,true,true,false
1,1787803832702,2026-08-27T04:10:32.3NZ,10.244.1.46,new,false,false,false
1,1787803833328,2026-08-27T04:10:33.3NZ,10.244.1.45,old,true,true,false
1,1787803833328,2026-08-27T04:10:33.3NZ,10.244.1.46,new,false,false,false
1,1787803833927,2026-08-27T04:10:33.3NZ,10.244.1.45,old,true,true,false
1,1787803833927,2026-08-27T04:10:33.3NZ,10.244.1.46,new,false,false,false
1,1787803834528,2026-08-27T04:10:34.3NZ,10.244.1.45,old,true,true,false
1,1787803834528,2026-08-27T04:10:34.3NZ,10.244.1.46,new,false,false,false
1,1787803835223,2026-08-27T04:10:35.3NZ,10.244.1.45,old,true,true,false
1,1787803835223,2026-08-27T04:10:35.3NZ,10.244.1.46,new,false,false,false
1,1787803835838,2026-08-27T04:10:35.3NZ,10.244.1.45,old,true,true,false
1,1787803835838,2026-08-27T04:10:35.3NZ,10.244.1.46,new,false,false,false
1,1787803836455,2026-08-27T04:10:36.3NZ,10.244.1.45,old,true,true,false
1,1787803836455,2026-08-27T04:10:36.3NZ,10.244.1.46,new,false,false,false
1,1787803837084,2026-08-27T04:10:37.3NZ,10.244.1.45,old,true,true,false
1,1787803837084,2026-08-27T04:10:37.3NZ,10.244.1.46,new,false,false,false
1,1787803837752,2026-08-27T04:10:37.3NZ,10.244.1.45,old,true,true,false
1,1787803837752,2026-08-27T04:10:37.3NZ,10.244.1.46,new,false,false,false
1,1787803838398,2026-08-27T04:10:38.3NZ,10.244.1.45,old,true,true,false
1,1787803838398,2026-08-27T04:10:38.3NZ,10.244.1.46,new,false,false,false
1,1787803839007,2026-08-27T04:10:39.3NZ,10.244.1.45,old,true,true,false
1,1787803839007,2026-08-27T04:10:39.3NZ,10.244.1.46,new,false,false,false
1,1787803839629,2026-08-27T04:10:39.3NZ,10.244.1.45,old,true,true,false
1,1787803839629,2026-08-27T04:10:39.3NZ,10.244.1.46,new,false,false,false
1,1787803840252,2026-08-27T04:10:40.3NZ,10.244.1.45,old,true,true,false
1,1787803840252,2026-08-27T04:10:40.3NZ,10.244.1.46,new,false,false,false
1,1787803840885,2026-08-27T04:10:40.3NZ,10.244.1.45,old,true,true,false
1,1787803840885,2026-08-27T04:10:40.3NZ,10.244.1.46,new,false,false,false
1,1787803841518,2026-08-27T04:10:41.3NZ,10.244.1.45,old,true,true,false
1,1787803841518,2026-08-27T04:10:41.3NZ,10.244.1.46,new,false,false,false
1,1787803842154,2026-08-27T04:10:42.3NZ,10.244.1.45,old,true,true,false
1,1787803842154,2026-08-27T04:10:42.3NZ,10.244.1.46,new,false,false,false
1,1787803842787,2026-08-27T04:10:42.3NZ,10.244.1.45,old,true,true,false
1,1787803842787,2026-08-27T04:10:42.3NZ,10.244.1.46,new,false,false,false
1,1787803843518,2026-08-27T04:10:43.3NZ,10.244.1.45,old,true,true,false
1,1787803843518,2026-08-27T04:10:43.3NZ,10.244.1.46,new,false,false,false
1,1787803844153,2026-08-27T04:10:44.3NZ,10.244.1.45,old,true,true,false
1,1787803844153,2026-08-27T04:10:44.3NZ,10.244.1.46,new,false,false,false
1,1787803844784,2026-08-27T04:10:44.3NZ,10.244.1.45,old,true,true,false
1,1787803844784,2026-08-27T04:10:44.3NZ,10.244.1.46,new,false,false,false
1,1787803845478,2026-08-27T04:10:45.3NZ,10.244.1.45,old,true,true,false
1,1787803845478,2026-08-27T04:10:45.3NZ,10.244.1.46,new,false,false,false
1,1787803846098,2026-08-27T04:10:46.3NZ,10.244.1.45,old,true,true,false
1,1787803846098,2026-08-27T04:10:46.3NZ,10.244.1.46,new,false,false,false
1,1787803846733,2026-08-27T04:10:46.3NZ,10.244.1.45,old,true,true,false
1,1787803846733,2026-08-27T04:10:46.3NZ,10.244.1.46,new,false,false,false
1,1787803847460,2026-08-27T04:10:47.3NZ,10.244.1.45,old,true,true,false
1,1787803847460,2026-08-27T04:10:47.3NZ,10.244.1.46,new,false,false,false
1,1787803848064,2026-08-27T04:10:48.3NZ,10.244.1.45,old,true,true,false
1,1787803848064,2026-08-27T04:10:48.3NZ,10.244.1.46,new,false,false,false
1,1787803848713,2026-08-27T04:10:48.3NZ,10.244.1.45,old,true,true,false
1,1787803848713,2026-08-27T04:10:48.3NZ,10.244.1.46,new,false,false,false
1,1787803849379,2026-08-27T04:10:49.3NZ,10.244.1.45,old,true,true,false
1,1787803849379,2026-08-27T04:10:49.3NZ,10.244.1.46,new,false,false,false
1,1787803850001,2026-08-27T04:10:50.3NZ,10.244.1.45,old,true,true,false
1,1787803850001,2026-08-27T04:10:50.3NZ,10.244.1.46,new,false,false,false
1,1787803850666,2026-08-27T04:10:50.3NZ,10.244.1.45,old,true,true,false
1,1787803850666,2026-08-27T04:10:50.3NZ,10.244.1.46,new,false,false,false
1,1787803851330,2026-08-27T04:10:51.3NZ,10.244.1.45,old,true,true,false
1,1787803851330,2026-08-27T04:10:51.3NZ,10.244.1.46,new,false,false,false
1,1787803851969,2026-08-27T04:10:51.3NZ,10.244.1.45,old,true,true,false
1,1787803851969,2026-08-27T04:10:51.3NZ,10.244.1.46,new,false,false,false
1,1787803852603,2026-08-27T04:10:52.3NZ,10.244.1.45,old,true,true,false
1,1787803852603,2026-08-27T04:10:52.3NZ,10.244.1.46,new,false,false,false
1,1787803853308,2026-08-27T04:10:53.3NZ,10.244.1.45,old,true,true,false
1,1787803853308,2026-08-27T04:10:53.3NZ,10.244.1.46,new,false,false,false
1,1787803853931,2026-08-27T04:10:53.3NZ,10.244.1.45,old,true,true,false
1,1787803853931,2026-08-27T04:10:53.3NZ,10.244.1.46,new,false,false,false
1,1787803854680,2026-08-27T04:10:54.3NZ,10.244.1.45,old,true,true,false
1,1787803854680,2026-08-27T04:10:54.3NZ,10.244.1.46,new,false,false,false
1,1787803855455,2026-08-27T04:10:55.3NZ,10.244.1.45,old,true,true,false
1,1787803855455,2026-08-27T04:10:55.3NZ,10.244.1.46,new,false,false,false
1,1787803856120,2026-08-27T04:10:56.3NZ,10.244.1.45,old,true,true,false
1,1787803856120,2026-08-27T04:10:56.3NZ,10.244.1.46,new,false,false,false
1,1787803856751,2026-08-27T04:10:56.3NZ,10.244.1.45,old,true,true,false
1,1787803856751,2026-08-27T04:10:56.3NZ,10.244.1.46,new,false,false,false
1,1787803857437,2026-08-27T04:10:57.3NZ,10.244.1.45,old,true,true,false
1,1787803857437,2026-08-27T04:10:57.3NZ,10.244.1.46,new,false,false,false
1,1787803858127,2026-08-27T04:10:58.3NZ,10.244.1.45,old,true,true,false
1,1787803858127,2026-08-27T04:10:58.3NZ,10.244.1.46,new,false,false,false
1,1787803858863,2026-08-27T04:10:58.3NZ,10.244.1.45,old,true,true,false
1,1787803858863,2026-08-27T04:10:58.3NZ,10.244.1.46,new,false,false,false
1,1787803859505,2026-08-27T04:10:59.3NZ,10.244.1.45,old,true,true,false
1,1787803859505,2026-08-27T04:10:59.3NZ,10.244.1.46,new,false,false,false
1,1787803860228,2026-08-27T04:11:00.3NZ,10.244.1.45,old,true,true,false
1,1787803860228,2026-08-27T04:11:00.3NZ,10.244.1.46,new,false,false,false
1,1787803860896,2026-08-27T04:11:00.3NZ,10.244.1.45,old,true,true,false
1,1787803860896,2026-08-27T04:11:00.3NZ,10.244.1.46,new,false,false,false
1,1787803861602,2026-08-27T04:11:01.3NZ,10.244.1.45,old,true,true,false
1,1787803861602,2026-08-27T04:11:01.3NZ,10.244.1.46,new,false,false,false
1,1787803862261,2026-08-27T04:11:02.3NZ,10.244.1.45,old,true,true,false
1,1787803862261,2026-08-27T04:11:02.3NZ,10.244.1.46,new,false,false,false
1,1787803862913,2026-08-27T04:11:02.3NZ,10.244.1.45,old,true,true,false
1,1787803862913,2026-08-27T04:11:02.3NZ,10.244.1.46,new,false,false,false
1,1787803863561,2026-08-27T04:11:03.3NZ,10.244.1.45,old,true,true,false
1,1787803863561,2026-08-27T04:11:03.3NZ,10.244.1.46,new,false,false,false
1,1787803864196,2026-08-27T04:11:04.3NZ,10.244.1.45,old,true,true,false
1,1787803864196,2026-08-27T04:11:04.3NZ,10.244.1.46,new,false,false,false
1,1787803864910,2026-08-27T04:11:04.3NZ,10.244.1.45,old,true,true,false
1,1787803864910,2026-08-27T04:11:04.3NZ,10.244.1.46,new,false,false,false
1,1787803865732,2026-08-27T04:11:05.3NZ,10.244.1.45,old,true,true,false
1,1787803865732,2026-08-27T04:11:05.3NZ,10.244.1.46,new,false,false,false
1,1787803866384,2026-08-27T04:11:06.3NZ,10.244.1.45,old,true,true,false
1,1787803866384,2026-08-27T04:11:06.3NZ,10.244.1.46,new,false,false,false
1,1787803867044,2026-08-27T04:11:07.3NZ,10.244.1.45,old,true,true,false
1,1787803867044,2026-08-27T04:11:07.3NZ,10.244.1.46,new,false,false,false
1,1787803867726,2026-08-27T04:11:07.3NZ,10.244.1.45,old,true,true,false
1,1787803867726,2026-08-27T04:11:07.3NZ,10.244.1.46,new,false,false,false
1,1787803868389,2026-08-27T04:11:08.3NZ,10.244.1.45,old,true,true,false
1,1787803868389,2026-08-27T04:11:08.3NZ,10.244.1.46,new,false,false,false
1,1787803869020,2026-08-27T04:11:09.3NZ,10.244.1.45,old,true,true,false
1,1787803869020,2026-08-27T04:11:09.3NZ,10.244.1.46,new,false,false,false
1,1787803869793,2026-08-27T04:11:09.3NZ,10.244.1.45,old,true,true,false
1,1787803869793,2026-08-27T04:11:09.3NZ,10.244.1.46,new,false,false,false
1,1787803870745,2026-08-27T04:11:10.3NZ,10.244.1.45,old,true,true,false
1,1787803870745,2026-08-27T04:11:10.3NZ,10.244.1.46,new,false,false,false
1,1787803871429,2026-08-27T04:11:11.3NZ,10.244.1.45,old,true,true,false
1,1787803871429,2026-08-27T04:11:11.3NZ,10.244.1.46,new,false,false,false
1,1787803872168,2026-08-27T04:11:12.3NZ,10.244.1.45,old,true,true,false
1,1787803872168,2026-08-27T04:11:12.3NZ,10.244.1.46,new,false,false,false
1,1787803872869,2026-08-27T04:11:12.3NZ,10.244.1.45,old,true,true,false
1,1787803872869,2026-08-27T04:11:12.3NZ,10.244.1.46,new,false,false,false
1,1787803873547,2026-08-27T04:11:13.3NZ,10.244.1.45,old,true,true,false
1,1787803873547,2026-08-27T04:11:13.3NZ,10.244.1.46,new,false,false,false
1,1787803874193,2026-08-27T04:11:14.3NZ,10.244.1.45,old,true,true,false
1,1787803874193,2026-08-27T04:11:14.3NZ,10.244.1.46,new,false,false,false
1,1787803874919,2026-08-27T04:11:14.3NZ,10.244.1.45,old,true,true,false
1,1787803874919,2026-08-27T04:11:14.3NZ,10.244.1.46,new,false,false,false
1,1787803875791,2026-08-27T04:11:15.3NZ,10.244.1.45,old,true,true,false
1,1787803875791,2026-08-27T04:11:15.3NZ,10.244.1.46,new,false,false,false
1,1787803876479,2026-08-27T04:11:16.3NZ,10.244.1.45,old,true,true,false
1,1787803876479,2026-08-27T04:11:16.3NZ,10.244.1.46,new,false,false,false
1,1787803877176,2026-08-27T04:11:17.3NZ,10.244.1.45,old,true,true,false
1,1787803877176,2026-08-27T04:11:17.3NZ,10.244.1.46,new,false,false,false
1,1787803877889,2026-08-27T04:11:17.3NZ,10.244.1.45,old,true,true,false
1,1787803877889,2026-08-27T04:11:17.3NZ,10.244.1.46,new,false,false,false
1,1787803878637,2026-08-27T04:11:18.3NZ,10.244.1.45,old,true,true,false
1,1787803878637,2026-08-27T04:11:18.3NZ,10.244.1.46,new,false,false,false
1,1787803879304,2026-08-27T04:11:19.3NZ,10.244.1.45,old,true,true,false
1,1787803879304,2026-08-27T04:11:19.3NZ,10.244.1.46,new,false,false,false
1,1787803879953,2026-08-27T04:11:19.3NZ,10.244.1.45,old,true,true,false
1,1787803879953,2026-08-27T04:11:19.3NZ,10.244.1.46,new,false,false,false
1,1787803880601,2026-08-27T04:11:20.3NZ,10.244.1.45,old,true,true,false
1,1787803880601,2026-08-27T04:11:20.3NZ,10.244.1.46,new,false,false,false
1,1787803881268,2026-08-27T04:11:21.3NZ,10.244.1.45,old,true,true,false
1,1787803881268,2026-08-27T04:11:21.3NZ,10.244.1.46,new,false,false,false
1,1787803881990,2026-08-27T04:11:22.3NZ,10.244.1.45,old,true,true,false
1,1787803881990,2026-08-27T04:11:22.3NZ,10.244.1.46,new,false,false,false
1,1787803882663,2026-08-27T04:11:22.3NZ,10.244.1.45,old,true,true,false
1,1787803882663,2026-08-27T04:11:22.3NZ,10.244.1.46,new,false,false,false
1,1787803883332,2026-08-27T04:11:23.3NZ,10.244.1.45,old,true,true,false
1,1787803883332,2026-08-27T04:11:23.3NZ,10.244.1.46,new,false,false,false
1,1787803884022,2026-08-27T04:11:24.3NZ,10.244.1.45,old,true,true,false
1,1787803884022,2026-08-27T04:11:24.3NZ,10.244.1.46,new,false,false,false
1,1787803884701,2026-08-27T04:11:24.3NZ,10.244.1.45,old,true,true,false
1,1787803884701,2026-08-27T04:11:24.3NZ,10.244.1.46,new,false,false,false
1,1787803885703,2026-08-27T04:11:25.3NZ,10.244.1.45,old,true,true,false
1,1787803885703,2026-08-27T04:11:25.3NZ,10.244.1.46,new,false,false,false
1,1787803886357,2026-08-27T04:11:26.3NZ,10.244.1.45,old,true,true,false
1,1787803886357,2026-08-27T04:11:26.3NZ,10.244.1.46,new,false,false,false
1,1787803886995,2026-08-27T04:11:27.3NZ,10.244.1.45,old,true,true,false
1,1787803886995,2026-08-27T04:11:27.3NZ,10.244.1.46,new,false,false,false
1,1787803887629,2026-08-27T04:11:27.3NZ,10.244.1.45,old,true,true,false
1,1787803887629,2026-08-27T04:11:27.3NZ,10.244.1.46,new,false,false,false
1,1787803888263,2026-08-27T04:11:28.3NZ,10.244.1.45,old,true,true,false
1,1787803888263,2026-08-27T04:11:28.3NZ,10.244.1.46,new,false,false,false
1,1787803888913,2026-08-27T04:11:28.3NZ,10.244.1.45,old,true,true,false
1,1787803888913,2026-08-27T04:11:28.3NZ,10.244.1.46,new,false,false,false
1,1787803889562,2026-08-27T04:11:29.3NZ,10.244.1.45,old,true,true,false
1,1787803889562,2026-08-27T04:11:29.3NZ,10.244.1.46,new,false,false,false
1,1787803890188,2026-08-27T04:11:30.3NZ,10.244.1.45,old,true,true,false
1,1787803890188,2026-08-27T04:11:30.3NZ,10.244.1.46,new,false,false,false
1,1787803890819,2026-08-27T04:11:30.3NZ,10.244.1.45,old,true,true,false
1,1787803890819,2026-08-27T04:11:30.3NZ,10.244.1.46,new,false,false,false
1,1787803891460,2026-08-27T04:11:31.3NZ,10.244.1.45,old,true,true,false
1,1787803891460,2026-08-27T04:11:31.3NZ,10.244.1.46,new,false,false,false
1,1787803892097,2026-08-27T04:11:32.3NZ,10.244.1.45,old,false,false,true
1,1787803892097,2026-08-27T04:11:32.3NZ,10.244.1.46,new,true,true,false
1,1787803892746,2026-08-27T04:11:32.3NZ,10.244.1.45,old,false,false,true
1,1787803892746,2026-08-27T04:11:32.3NZ,10.244.1.46,new,true,true,false
1,1787803893391,2026-08-27T04:11:33.3NZ,10.244.1.45,old,false,false,true
1,1787803893391,2026-08-27T04:11:33.3NZ,10.244.1.46,new,true,true,false
1,1787803894013,2026-08-27T04:11:34.3NZ,10.244.1.45,old,false,false,true
1,1787803894013,2026-08-27T04:11:34.3NZ,10.244.1.46,new,true,true,false
1,1787803894763,2026-08-27T04:11:34.3NZ,10.244.1.45,old,false,false,true
1,1787803894763,2026-08-27T04:11:34.3NZ,10.244.1.46,new,true,true,false
1,1787803895886,2026-08-27T04:11:35.3NZ,10.244.1.45,old,false,false,true
1,1787803895886,2026-08-27T04:11:35.3NZ,10.244.1.46,new,true,true,false
1,1787803896569,2026-08-27T04:11:36.3NZ,10.244.1.45,old,false,false,true
1,1787803896569,2026-08-27T04:11:36.3NZ,10.244.1.46,new,true,true,false
1,1787803897243,2026-08-27T04:11:37.3NZ,10.244.1.45,old,false,false,true
1,1787803897243,2026-08-27T04:11:37.3NZ,10.244.1.46,new,true,true,false
1,1787803897937,2026-08-27T04:11:37.3NZ,10.244.1.45,old,false,false,true
1,1787803897937,2026-08-27T04:11:37.3NZ,10.244.1.46,new,true,true,false
1,1787803898581,2026-08-27T04:11:38.3NZ,10.244.1.45,old,false,false,true
1,1787803898581,2026-08-27T04:11:38.3NZ,10.244.1.46,new,true,true,false
