run,rollout_start_ms,old_pod,old_ip,new_pod,new_ip,new_pod_first_seen_ms,new_pod_running_ms,new_endpoint_first_seen_ms,new_endpoint_ready_ms,old_endpoint_not_ready_ms,old_endpoint_removed_ms,new_endpoint_nonserving_ms,traffic_gap_count
1,1787803820710,ollama-6d6958686-x4t66,10.244.1.45,ollama-7484d59755-9r9j7,10.244.1.46,1787803820856,1787803822376,1787803823113,1787803892097,1787803892097,1787803922882,,0
2,1787803938499,ollama-7484d59755-9r9j7,10.244.1.46,ollama-7dfdcbf584-58rcq,10.244.1.47,1787803938612,1787803940913,1787803940913,1787803991652,1787803991652,1787804022202,,0
3,1787804037728,ollama-7dfdcbf584-58rcq,10.244.1.47,ollama-7c6f8cbd-x7lpb,10.244.1.48,1787804037849,1787804040255,1787804041018,1787804075270,1787804075982,1787804106516,,0
4,1787804122121,ollama-7c6f8cbd-x7lpb,10.244.1.48,ollama-777868f558-bzvzc,10.244.1.49,1787804122240,1787804124592,1787804124592,1787804174629,1787804174629,1787804205461,,0
5,1787804221057,ollama-777868f558-bzvzc,10.244.1.49,ollama-6694b8bb69-zxjb9,10.244.1.50,1787804221251,1787804223662,1787804223662,1787804276488,1787804277206,1787804307844,,0
6,1787804323389,ollama-6694b8bb69-zxjb9,10.244.1.50,ollama-796df4ffc8-fp9lc,10.244.1.51,1787804323557,1787804325911,1787804325911,1787804360990,1787804360990,1787804392099,,0
7,1787804407666,ollama-796df4ffc8-fp9lc,10.244.1.51,ollama-555bc8945-hp6v7,10.244.1.52,1787804407901,1787804410255,1787804410255,1787804466290,1787804467013,1787804497272,,0
8,1787804512856,ollama-555bc8945-hp6v7,10.244.1.52,ollama-58b79d8896-xqchw,10.244.1.53,1787804512981,1787804515509,1787804515509,1787804566453,1787804566453,1787804597081,,0
9,1787804612963,ollama-58b79d8896-xqchw,10.244.1.53,ollama-79cdc67745-cwwsc,10.244.1.54,1787804613087,1787804615340,1787804615340,1787804652266,1787804652266,1787804682913,,0
10,1787804698557,ollama-79cdc67745-cwwsc,10.244.1.54,ollama-6dc6d7df45-z4nkq,10.244.1.55,1787804698678,1787804701222,1787804701222,1787804741670,1787804741670,1787804772463,,0
